epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.28,2.05532,4.44216,1.6137,0.00266,0.16236,0.03895,0.02547,1.85013,4.34348,1.46112,3.636e-05,3.636e-05,3.636e-05
2,30.5371,1.95867,4.24871,1.51886,0.00563,0.34237,0.0915,0.06086,1.76664,4.24045,1.35087,7.91103e-05,7.91103e-05,7.91103e-05
3,40.1171,1.89664,4.03734,1.35294,0.00576,0.40404,0.09852,0.05421,1.74672,4.16922,1.30392,0.000118861,0.000118861,0.000118861
4,49.4012,1.8834,3.71245,1.30043,0.00617,0.45633,0.11126,0.05929,1.79673,4.10174,1.29606,0.000155612,0.000155612,0.000155612
5,58.8223,1.88487,3.47853,1.27768,0.00692,0.5262,0.16716,0.09751,1.84599,3.9784,1.27576,0.000189363,0.000189363,0.000189363
6,68.316,1.77904,3.09203,1.22872,0.00852,0.65688,0.21009,0.13268,1.77544,3.85841,1.21864,0.000220114,0.000220114,0.000220114
7,77.8096,1.79024,2.87221,1.21988,0.01154,0.76972,0.30018,0.1804,1.77225,3.70643,1.20114,0.000247866,0.000247866,0.000247866
8,87.1829,1.87302,2.65448,1.24825,0.44115,0.19902,0.29941,0.17566,1.74921,3.58352,1.1975,0.000272618,0.000272618,0.000272618
9,96.5782,1.76805,2.4999,1.24109,0.03536,0.78879,0.23747,0.123,1.76834,3.50905,1.22266,0.000294371,0.000294371,0.000294371
10,106.018,1.70882,2.38992,1.21787,0.01557,0.77331,0.25597,0.11678,1.73116,3.45702,1.21612,0.000313123,0.000313123,0.000313123
11,115.457,1.85836,2.39347,1.2684,0.01603,0.81875,0.3101,0.1729,1.7415,3.34335,1.23461,0.000328876,0.000328876,0.000328876
12,124.875,1.75337,2.3218,1.20201,0.84813,0.03444,0.32146,0.18647,1.69378,3.17229,1.2266,0.000341629,0.000341629,0.000341629
13,134.259,1.71731,2.14042,1.18785,0.75556,0.04729,0.33946,0.18937,1.69004,3.1113,1.21663,0.000351383,0.000351383,0.000351383
14,143.852,1.71109,2.12621,1.2022,0.74307,0.10218,0.41873,0.22842,1.66322,3.01097,1.19737,0.000358137,0.000358137,0.000358137
15,153.55,1.6576,2.07316,1.17508,0.65878,0.13527,0.51348,0.30868,1.64485,2.91665,1.19963,0.000361891,0.000361891,0.000361891
16,163.204,1.64273,1.95922,1.18437,0.70075,0.18526,0.52668,0.32532,1.63323,2.86402,1.19513,0.000362646,0.000362646,0.000362646
17,172.861,1.63714,1.9476,1.17414,0.66959,0.28284,0.53106,0.32973,1.61117,2.69056,1.19169,0.0003604,0.0003604,0.0003604
18,182.678,1.60427,1.86104,1.14854,0.63884,0.41839,0.55694,0.34101,1.62417,2.55515,1.19561,0.000355155,0.000355155,0.000355155
19,192.381,1.63417,1.88089,1.17349,0.67858,0.51417,0.60351,0.35691,1.61467,2.44875,1.17592,0.000346911,0.000346911,0.000346911
20,202.182,1.64896,1.79887,1.17476,0.61788,0.60788,0.63691,0.4104,1.54453,2.27216,1.15425,0.000335666,0.000335666,0.000335666
21,213.658,1.56288,1.98555,1.14318,0.59793,0.57834,0.62692,0.41187,1.54621,2.25115,1.15959,0.00030906,0.00030906,0.00030906
22,223.312,1.53446,1.87336,1.15769,0.59569,0.55386,0.63363,0.4113,1.56306,2.24194,1.16589,0.000279063,0.000279063,0.000279063
23,233.671,1.55999,1.86109,1.14928,0.57923,0.54954,0.63286,0.41916,1.57652,2.21377,1.17436,0.000249066,0.000249066,0.000249066
24,243.359,1.54381,1.83194,1.12585,0.62865,0.62307,0.66463,0.43075,1.55036,2.07712,1.17764,0.000219069,0.000219069,0.000219069
25,252.995,1.56961,1.81251,1.17871,0.62295,0.62597,0.68316,0.44663,1.54106,1.99115,1.17892,0.000189072,0.000189072,0.000189072
26,262.668,1.55232,1.78064,1.13963,0.66639,0.69782,0.7093,0.45571,1.54811,1.91889,1.18299,0.000159075,0.000159075,0.000159075
27,272.326,1.49182,1.71653,1.09878,0.68367,0.72281,0.73624,0.46516,1.54241,1.86121,1.17975,0.000129078,0.000129078,0.000129078
28,282.261,1.47921,1.72909,1.12213,0.7142,0.75586,0.7409,0.4769,1.52592,1.77089,1.16606,9.9081e-05,9.9081e-05,9.9081e-05
29,291.8,1.50691,1.70887,1.10282,0.70797,0.75591,0.73647,0.47957,1.52398,1.73951,1.16751,6.9084e-05,6.9084e-05,6.9084e-05
30,301.531,1.48344,1.69873,1.10584,0.70798,0.76334,0.74911,0.48877,1.51931,1.7122,1.16591,3.9087e-05,3.9087e-05,3.9087e-05
